2,Tuesday,9AM,4PM,17MFF-0192,1133 MISSION ST,Truck located in the two parking spaces in front of 1133 Mission St,Halal Gyro and Cheesesteaks,1020424,,09:00,16:00,9101000,09/19/2017 04:09:36 PM,10/12/2017 04:04:07 PM,3727,096,N,"Kabob Trolley, LLC",6009230.87913,2111606.36848,37.778589559803628,-122.4116261527937,"(37.7785895598036, -122.411626152794)"
1,Monday,9AM,4PM,17MFF-0192,1133 MISSION ST,Truck located in the two parking spaces in front of 1133 Mission St,Halal Gyro and Cheesesteaks,1020424,,09:00,16:00,9101000,09/19/2017 04:09:36 PM,10/12/2017 04:04:07 PM,3727,096,N,"Kabob Trolley, LLC",6009230.87913,2111606.36848,37.778589559803628,-122.4116261527937,"(37.7785895598036, -122.411626152794)"
4,Thursday,10AM,3PM,17MFF-0191,253 DRUMM ST,10:30am-3:00pm,"Various types of meat, veggie, and seafood bowls.",1013324,,10:00,15:00,4972000,10/25/2011 08:22:22 AM,10/25/2011 08:22:37 AM,0203,013,N,Wu Wei LLC dba MoBowl,6013602.81147,2117830.09,37.795922726101033,-122.39693833044615,"(37.795922726101, -122.396938330446)"
0,Sunday,10AM,11PM,17MFF-0191,370 DRUMM ST,Set-up at 10 Washington St: 10:00am-11:00pm,"Various types of meat, veggie, and seafood bowls.",1013323,,10:00,23:00,13403000,10/25/2011 08:21:31 AM,10/25/2011 08:21:57 AM,0201,012,N,Wu Wei LLC dba MoBowl,6013588.43798,2118217.06525,37.79698446843701,-122.39701521207073,"(37.796984468437, -122.397015212071)"
1,Monday,10AM,3PM,17MFF-0191,75 HOWARD ST,Set-up at 201 Steuart St: 10:30am-3:00pm,"Various types of meat, veggie, and seafood bowls.",1013322,,10:00,15:00,12160001,10/25/2011 08:20:48 AM,10/25/2011 08:20:59 AM,3741,031,N,Wu Wei LLC dba MoBowl,6014987.2178,2116234.80532,37.791619408655599,-122.39203636644855,"(37.7916194086556, -122.392036366449)"
3,Wednesday,10AM,3PM,17MFF-0191,75 HOWARD ST,Set-up at 201 Steuart St: 10:30am-3:00pm,"Various types of meat, veggie, and seafood bowls.",1013322,,10:00,15:00,12160001,10/25/2011 08:20:48 AM,10/25/2011 08:20:59 AM,3741,031,N,Wu Wei LLC dba MoBowl,6014987.2178,2116234.80532,37.791619408655599,-122.39203636644855,"(37.7916194086556, -122.392036366449)"
2,Tuesday,10AM,3PM,17MFF-0191,253 DRUMM ST,10:30am-3:00pm,"Various types of meat, veggie, and seafood bowls.",1013324,,10:00,15:00,4972000,10/25/2011 08:22:22 AM,10/25/2011 08:22:37 AM,0203,013,N,Wu Wei LLC dba MoBowl,6013602.81147,2117830.09,37.795922726101033,-122.39693833044615,"(37.795922726101, -122.396938330446)"
1,Monday,10AM,2PM,17MFF-0191,500 HOWARD ST,10:30am-1:30pm,"Various types of meat, veggie, and seafood bowls.",1013320,,10:00,14:00,7033000,10/25/2011 08:18:21 AM,10/25/2011 08:19:13 AM,3721,011,N,Wu Wei LLC dba MoBowl,6013778.7388,2115134.04818,37.788529817710213,-122.3961405441853,"(37.7885298177102, -122.396140544185)"
5,Friday,10AM,2PM,17MFF-0191,500 HOWARD ST,10:30am-1:30pm,"Various types of meat, veggie, and seafood bowls.",1013320,,10:00,14:00,7033000,10/25/2011 08:18:21 AM,10/25/2011 08:19:13 AM,3721,011,N,Wu Wei LLC dba MoBowl,6013778.7388,2115134.04818,37.788529817710213,-122.3961405441853,"(37.7885298177102, -122.396140544185)"
0,Sunday,8AM,5PM,17MFF-0195,1888 MISSION ST,Truck located on Mission St. approximately 40 feet north of the Mission and 15th St. intersection.,"Tacos, Burritos, Quesadillas, Various Drinks",1036076,,08:00,17:00,9114000,11/08/2017 09:43:28 AM,11/08/2017 09:44:53 AM,3547,003,N,CARDONA'S FOOD TRUCK,6006748.62793,2107389.25478,37.766870819282303,-122.41991389793975,"(37.7668708192823, -122.41991389794)"
3,Wednesday,8AM,5PM,17MFF-0195,1800 MISSION ST,Truck located on Mission St. approximately 48 feet south of the existing bus stop on the corner of Mission & 14th St.,"Tacos, Burritos, Quesadillas, Various Drinks",1036073,,08:00,17:00,9114000,11/08/2017 09:41:20 AM,,3547,001,N,CARDONA'S FOOD TRUCK,6006720.59483,2107881.70544,37.768221393081411,-122.42004581108148,"(37.7682213930814, -122.420045811081)"
4,Thursday,8AM,5PM,17MFF-0195,1800 MISSION ST,Truck located on Mission St. approximately 48 feet south of the existing bus stop on the corner of Mission & 14th St.,"Tacos, Burritos, Quesadillas, Various Drinks",1036073,,08:00,17:00,9114000,11/08/2017 09:41:20 AM,,3547,001,N,CARDONA'S FOOD TRUCK,6006720.59483,2107881.70544,37.768221393081411,-122.42004581108148,"(37.7682213930814, -122.420045811081)"
6,Saturday,8AM,5PM,17MFF-0195,1888 MISSION ST,Truck located on Mission St. approximately 40 feet north of the Mission and 15th St. intersection.,"Tacos, Burritos, Quesadillas, Various Drinks",1036076,,08:00,17:00,9114000,11/08/2017 09:43:28 AM,11/08/2017 09:44:53 AM,3547,003,N,CARDONA'S FOOD TRUCK,6006748.62793,2107389.25478,37.766870819282303,-122.41991389793975,"(37.7668708192823, -122.41991389794)"
2,Tuesday,8AM,5PM,17MFF-0195,1800 MISSION ST,Truck located on Mission St. approximately 48 feet south of the existing bus stop on the corner of Mission & 14th St.,"Tacos, Burritos, Quesadillas, Various Drinks",1036073,,08:00,17:00,9114000,11/08/2017 09:41:20 AM,,3547,001,N,CARDONA'S FOOD TRUCK,6006720.59483,2107881.70544,37.768221393081411,-122.42004581108148,"(37.7682213930814, -122.420045811081)"
6,Saturday,7AM,6PM,12MFF-0083,79 NEW MONTGOMERY ST,Push cart located on the sidewalk 25 linear feet NW of the Mission St & New Montgomery St intersection.,Hot Indian Chai (Tea),364218,,07:00,18:00,9543000,04/03/2012 02:59:22 PM,05/01/2012 03:10:59 PM,3707,014,N,The Chai Cart,6012448.52352,2114861.95448,37.787708609288892,-122.40072379040143,"(37.7877086092889, -122.400723790401)"
0,Sunday,11AM,3PM,17MFF-0181,400 CALIFORNIA ST,"Truck located approximately 30 linear feet East of Leidesdorff St and California St intersection --- Sandwiches, Meatloaf, Salad, Mac & Cheese, Fries, Mashed Potatos, Seasonal Vegetables","Meatloaf, Grilled Cheese, Chicken Sandwich, Caprese Salad, Kale Salad, Fries, Sweet Potato Fries, Mac and Cheese, Mashed Potatoes",1022810,,11:00,15:00,3528000,09/27/2017 04:54:48 PM,11/13/2017 01:43:20 PM,0239,003,N,Serendipity SF,6012361.8054,2116831.37598,37.793111338624819,-122.40116226158767,"(37.7931113386248, -122.401162261588)"
